roi_value roi_name
2 Left-Cerebral-White-Matter
4 Left-Lateral-Ventricle
5 Left-Inf-Lat-Vent
7 Left-Cerebellum-White-Matter
8 Left-Cerebellum-Cortex
10 Left-Thalamus-Proper
11 Left-Caudate
12 Left-Putamen
13 Left-Pallidum
14 3rd-Ventricle
15 4th-Ventricle
16 Brain-Stem
17 Left-Hippocampus
18 Left-Amygdala
24 CSF
26 Left-Accumbens-area
28 Left-VentralDC
30 Left-vessel
31 Left-choroid-plexus
41 Right-Cerebral-White-Matter
43 Right-Lateral-Ventricle
44 Right-Inf-Lat-Vent
46 Right-Cerebellum-White-Matter
47 Right-Cerebellum-Cortex
49 Right-Thalamus-Proper
50 Right-Caudate
51 Right-Putamen
52 Right-Pallidum
53 Right-Hippocampus
54 Right-Amygdala
58 Right-Accumbens-area
60 Right-VentralDC
62 Right-vessel
63 Right-choroid-plexus
77 WM-hypointensities
85 Optic-Chiasm
251 CC_Posterior
252 CC_Mid_Posterior
253 CC_Central
254 CC_Mid_Anterior
255 CC_Anterior
1001 lh_bankssts_part1
1002 lh_bankssts_part2
1003 lh_caudalanteriorcingulate_part1
1004 lh_caudalmiddlefrontal_part1
1005 lh_caudalmiddlefrontal_part2
1006 lh_caudalmiddlefrontal_part3
1007 lh_caudalmiddlefrontal_part4
1009 lh_cuneus_part1
1010 lh_cuneus_part2
1011 lh_entorhinal_part1
1012 lh_fusiform_part1
1013 lh_fusiform_part2
1014 lh_fusiform_part3
1015 lh_fusiform_part4
1016 lh_fusiform_part5
1017 lh_inferiorparietal_part1
1018 lh_inferiorparietal_part2
1019 lh_inferiorparietal_part3
1020 lh_inferiorparietal_part4
1021 lh_inferiorparietal_part5
1022 lh_inferiorparietal_part6
1023 lh_inferiorparietal_part7
1024 lh_inferiorparietal_part8
1025 lh_inferiortemporal_part1
1026 lh_inferiortemporal_part2
1027 lh_inferiortemporal_part3
1028 lh_inferiortemporal_part4
1029 lh_inferiortemporal_part5
1030 lh_inferiortemporal_part6
1031 lh_isthmuscingulate_part1
1032 lh_isthmuscingulate_part2
1033 lh_lateraloccipital_part1
