roi_value	roi_name
2	Left-Cerebral-White-Matter
4	Left-Lateral-Ventricle
5	Left-Inf-Lat-Vent
7	Left-Cerebellum-White-Matter
8	Left-Cerebellum-Cortex
10	Left-Thalamus-Proper
11	Left-Caudate
12	Left-Putamen
13	Left-Pallidum
14	3rd-Ventricle
15	4th-Ventricle
16	Brain-Stem
17	Left-Hippocampus
18	Left-Amygdala
24	CSF
26	Left-Accumbens-area
28	Left-VentralDC
30	Left-vessel
31	Left-choroid-plexus
41	Right-Cerebral-White-Matter
43	Right-Lateral-Ventricle
44	Right-Inf-Lat-Vent
46	Right-Cerebellum-White-Matter
47	Right-Cerebellum-Cortex
49	Right-Thalamus-Proper
50	Right-Caudate
51	Right-Putamen
52	Right-Pallidum
53	Right-Hippocampus
54	Right-Amygdala
58	Right-Accumbens-area
60	Right-VentralDC
62	Right-vessel
63	Right-choroid-plexus
77	WM-hypointensities
85	Optic-Chiasm
251	CC_Posterior
252	CC_Mid_Posterior
253	CC_Central
254	CC_Mid_Anterior
255	CC_Anterior
1001	L_V1_ROI
1002	L_MST_ROI
1003	L_V6_ROI
1004	L_V2_ROI
1005	L_V3_ROI
1006	L_V4_ROI
1007	L_V8_ROI
1008	L_4_ROI
1009	L_3b_ROI
1010	L_FEF_ROI
1011	L_PEF_ROI
1012	L_55b_ROI
1013	L_V3A_ROI
1014	L_RSC_ROI
1015	L_POS2_ROI
1016	L_V7_ROI
1017	L_IPS1_ROI
1018	L_FFC_ROI
1019	L_V3B_ROI
1020	L_LO1_ROI
1021	L_LO2_ROI
1022	L_PIT_ROI
1023	L_MT_ROI
1024	L_A1_ROI
1025	L_PSL_ROI
1026	L_SFL_ROI
1027	L_PCV_ROI
1028	L_STV_ROI
1029	L_7Pm_ROI
1030	L_7m_ROI
1031	L_POS1_ROI
1032	L_23d_ROI
1033	L_v23ab_ROI
1034	L_d23ab_ROI
1035	L_31pv_ROI
1036	L_5m_ROI
1037	L_5mv_ROI
1038	L_23c_ROI
1039	L_5L_ROI
1040	L_24dd_ROI
1041	L_24dv_ROI
1042	L_7AL_ROI
1043	L_SCEF_ROI
